unix,date,symbol,open,high,low,close,Volume ETC,Volume USDT,tradecount
1623639600000,2021-06-14 03:00:00,ETC/USDT,58.30200000,58.39200000,57.36100000,57.89000000,56500.78900000,3267656.47314300,8751
1623636000000,2021-06-14 02:00:00,ETC/USDT,58.93300000,59.05900000,58.15000000,58.30400000,36117.72500000,2115779.06159800,11321
1623632400000,2021-06-14 01:00:00,ETC/USDT,58.75600000,59.35900000,58.31400000,58.93300000,79842.96700000,4696670.49031600,9072
1623628800000,2021-06-14 00:00:00,ETC/USDT,58.99900000,59.70900000,58.30000000,58.75300000,69126.32400000,4073883.02191000,14654
1623625200000,2021-06-13 23:00:00,ETC/USDT,58.75400000,59.17000000,58.38100000,58.99800000,48447.36700000,2846120.33239200,4680
1623621600000,2021-06-13 22:00:00,ETC/USDT,58.99000000,59.05600000,58.48200000,58.73400000,92420.78300000,5434214.02495300,19284
1623618000000,2021-06-13 21:00:00,ETC/USDT,60.00000000,60.33100000,58.93700000,58.97800000,118890.06500000,7071405.74155400,15580
1623614400000,2021-06-13 20:00:00,ETC/USDT,56.87500000,60.71400000,56.87500000,60.00000000,225291.19700000,13211985.80345900,24570
1623610800000,2021-06-13 19:00:00,ETC/USDT,56.95300000,57.02900000,56.60900000,56.87500000,46639.67000000,2649731.92303200,5013
1623607200000,2021-06-13 18:00:00,ETC/USDT,56.35600000,57.12900000,56.33000000,56.95400000,74784.77800000,4245713.00562100,8172
1623603600000,2021-06-13 17:00:00,ETC/USDT,55.79800000,56.83900000,55.61400000,56.33900000,98392.97900000,5525842.99011100,16902
1623600000000,2021-06-13 16:00:00,ETC/USDT,54.73000000,55.99900000,54.55700000,55.78600000,154474.88500000,8566068.65445600,12438
1623596400000,2021-06-13 15:00:00,ETC/USDT,54.13300000,54.82500000,54.10000000,54.72400000,26124.72400000,1422301.45331900,12959
1623592800000,2021-06-13 14:00:00,ETC/USDT,54.78100000,54.91100000,54.11100000,54.12700000,26786.53100000,1457302.46448000,2928
1623589200000,2021-06-13 13:00:00,ETC/USDT,54.80900000,55.00700000,54.50500000,54.76000000,31434.27600000,1721768.63653700,3345
1623585600000,2021-06-13 12:00:00,ETC/USDT,54.92600000,55.36700000,54.75700000,54.82200000,30935.15600000,1702928.45510300,3462
1623582000000,2021-06-13 11:00:00,ETC/USDT,55.35700000,55.59800000,54.72800000,54.92800000,43638.04800000,2408585.55307100,5184
1623578400000,2021-06-13 10:00:00,ETC/USDT,54.73400000,55.78600000,54.62200000,55.36400000,55633.37400000,3069441.86501800,4945
1623574800000,2021-06-13 09:00:00,ETC/USDT,54.70700000,54.82000000,54.29400000,54.72200000,29030.53200000,1583338.77608700,3332
1623571200000,2021-06-13 08:00:00,ETC/USDT,54.23800000,54.93100000,53.97100000,54.70000000,33355.91300000,1818376.04176500,3547
1623567600000,2021-06-13 07:00:00,ETC/USDT,54.57800000,54.58500000,54.19000000,54.23100000,19242.56400000,1046404.70861500,2431
1623564000000,2021-06-13 06:00:00,ETC/USDT,54.19500000,54.59700000,53.85000000,54.58500000,44650.54700000,2419858.87555700,3554
1623560400000,2021-06-13 05:00:00,ETC/USDT,54.25200000,55.50800000,53.68500000,54.20500000,86682.68200000,4732064.92298700,7097
1623556800000,2021-06-13 04:00:00,ETC/USDT,54.05600000,54.45800000,53.95100000,54.28000000,39462.86200000,2138505.50768300,4519
1623553200000,2021-06-13 03:00:00,ETC/USDT,55.16900000,55.17300000,54.00000000,54.05900000,61067.81600000,3326204.96998600,6378
1623549600000,2021-06-13 02:00:00,ETC/USDT,55.66700000,55.88700000,55.04800000,55.17400000,26772.78800000,1484237.31583000,5380
1623546000000,2021-06-13 01:00:00,ETC/USDT,55.09400000,55.85000000,55.07600000,55.68000000,60248.22800000,3348978.80618900,13139
1623542400000,2021-06-13 00:00:00,ETC/USDT,55.22100000,55.48700000,54.19000000,55.10000000,74124.37400000,4061954.38334500,17582
1623538800000,2021-06-12 23:00:00,ETC/USDT,55.81000000,55.99100000,55.05900000,55.19500000,33210.36800000,1849239.56981800,3328
1623535200000,2021-06-12 22:00:00,ETC/USDT,55.78100000,56.06800000,55.26000000,55.78600000,37036.20600000,2062006.43315300,3422
1623531600000,2021-06-12 21:00:00,ETC/USDT,55.83000000,56.25000000,55.32400000,55.78100000,36554.86200000,2037892.07047100,3706
1623528000000,2021-06-12 20:00:00,ETC/USDT,55.89500000,56.42600000,55.63900000,55.80600000,30691.57400000,1717769.14868900,3200
1623524400000,2021-06-12 19:00:00,ETC/USDT,56.19100000,56.39900000,55.81100000,55.89400000,29259.18300000,1644491.09490000,3757
