unix,date,symbol,open,high,low,close,Volume DOT,Volume USDT,tradecount
1625594400000,2021-07-06 18:00:00,DOT/USDT,15.74600000,16.05800000,15.70100000,15.82500000,546857.31100000,8704569.31068100,21200
1625590800000,2021-07-06 17:00:00,DOT/USDT,15.66900000,15.76100000,15.37900000,15.74800000,442631.13800000,6893409.06018000,13766
1625587200000,2021-07-06 16:00:00,DOT/USDT,15.59700000,15.71400000,15.48100000,15.67300000,376651.22000000,5868762.64681300,10582
1625583600000,2021-07-06 15:00:00,DOT/USDT,15.67300000,15.67300000,15.55500000,15.59200000,292724.99300000,4567814.79524800,9074
1625580000000,2021-07-06 14:00:00,DOT/USDT,15.66100000,15.75500000,15.56000000,15.67300000,384768.76200000,6024250.51194100,11199
1625576400000,2021-07-06 13:00:00,DOT/USDT,15.68500000,15.78000000,15.55500000,15.65800000,851841.50400000,13364416.24428600,17931
1625572800000,2021-07-06 12:00:00,DOT/USDT,15.46100000,15.73500000,15.31200000,15.68500000,694191.55800000,10785457.41485400,21600
1625569200000,2021-07-06 11:00:00,DOT/USDT,15.37700000,15.58700000,15.26500000,15.46200000,441468.12600000,6806329.17588000,14047
1625565600000,2021-07-06 10:00:00,DOT/USDT,15.47200000,15.49900000,15.25500000,15.37400000,634201.53300000,9757192.78346300,17572
1625562000000,2021-07-06 09:00:00,DOT/USDT,16.13400000,16.14900000,15.26500000,15.46900000,1722799.57100000,26731626.97975000,38250
1625558400000,2021-07-06 08:00:00,DOT/USDT,15.89600000,16.19100000,15.84700000,16.13300000,593607.83500000,9492285.68044900,15635
1625554800000,2021-07-06 07:00:00,DOT/USDT,15.90400000,16.01100000,15.78100000,15.89400000,656585.44000000,10459053.44714100,11671
1625551200000,2021-07-06 06:00:00,DOT/USDT,15.94500000,16.12000000,15.86300000,15.90200000,532485.51400000,8520450.51642700,13842
1625547600000,2021-07-06 05:00:00,DOT/USDT,15.77500000,16.11000000,15.77500000,15.94500000,1132474.13200000,18063008.55281000,29436
1625544000000,2021-07-06 04:00:00,DOT/USDT,15.46800000,15.78800000,15.46700000,15.77700000,650074.81300000,10201767.47747100,20348
1625540400000,2021-07-06 03:00:00,DOT/USDT,15.36300000,15.47500000,15.33900000,15.46900000,212263.42600000,3269425.36313800,5901
1625536800000,2021-07-06 02:00:00,DOT/USDT,15.31200000,15.37800000,15.30600000,15.36400000,198869.53500000,3050073.08543400,5062
1625533200000,2021-07-06 01:00:00,DOT/USDT,15.44400000,15.48000000,15.30800000,15.31000000,183894.29300000,2827355.79854500,4902
1625529600000,2021-07-06 00:00:00,DOT/USDT,15.22900000,15.54200000,15.19400000,15.44700000,401724.31900000,6191696.27386500,9253
1625526000000,2021-07-05 23:00:00,DOT/USDT,15.38700000,15.47800000,15.20000000,15.22800000,293040.81900000,4502172.04389100,7161
1625522400000,2021-07-05 22:00:00,DOT/USDT,15.52200000,15.55900000,15.38200000,15.38700000,299778.29100000,4637814.19119500,7078
1625518800000,2021-07-05 21:00:00,DOT/USDT,15.34200000,15.53500000,15.34200000,15.52300000,257204.88100000,3972700.40516700,6317
1625515200000,2021-07-05 20:00:00,DOT/USDT,15.50100000,15.53100000,15.29900000,15.34400000,352765.52900000,5436048.27799100,8761
1625511600000,2021-07-05 19:00:00,DOT/USDT,15.29700000,15.52100000,15.28600000,15.49500000,661769.39800000,10220202.72504900,13450
1625508000000,2021-07-05 18:00:00,DOT/USDT,15.26300000,15.42000000,15.26100000,15.29900000,511416.44200000,7841448.06125100,13527
1625504400000,2021-07-05 17:00:00,DOT/USDT,15.05600000,15.33300000,14.81800000,15.26400000,481104.02800000,7248258.55616900,14053
1625500800000,2021-07-05 16:00:00,DOT/USDT,14.95200000,15.10800000,14.92300000,15.05900000,254104.37200000,3819734.88085800,7363
1625497200000,2021-07-05 15:00:00,DOT/USDT,15.10900000,15.13800000,14.91200000,14.95400000,336667.57800000,5055774.55966100,9731
1625493600000,2021-07-05 14:00:00,DOT/USDT,15.03400000,15.16600000,14.98800000,15.11000000,320956.17700000,4844293.24303100,9486
1625490000000,2021-07-05 13:00:00,DOT/USDT,14.84000000,15.12900000,14.81600000,15.04000000,445834.53900000,6694549.97446100,11603
1625486400000,2021-07-05 12:00:00,DOT/USDT,14.87300000,14.99900000,14.81300000,14.84300000,551661.61000000,8226252.04224100,15286
1625482800000,2021-07-05 11:00:00,DOT/USDT,15.73900000,15.73900000,14.50000000,14.87400000,1923552.76300000,28943017.63626900,42613
1625479200000,2021-07-05 10:00:00,DOT/USDT,15.53600000,15.75300000,15.50500000,15.73900000,326133.17200000,5098378.07618900,9202
1625475600000,2021-07-05 09:00:00,DOT/USDT,15.49200000,15.60400000,15.47600000,15.53700000,197991.46600000,3082184.23360000,5921
1625472000000,2021-07-05 08:00:00,DOT/USDT,15.53400000,15.56800000,15.40100000,15.49200000,212010.16300000,3279809.78364000,5985
1625468400000,2021-07-05 07:00:00,DOT/USDT,15.58400000,15.58400000,15.41800000,15.53000000,224713.80600000,3482173.17963900,5961
1625464800000,2021-07-05 06:00:00,DOT/USDT,15.52500000,15.64600000,15.43600000,15.58500000,317746.19700000,4942510.87602300,8294
1625461200000,2021-07-05 05:00:00,DOT/USDT,15.45800000,15.55000000,15.35500000,15.52400000,325098.46200000,5025092.77149100,8692
1625457600000,2021-07-05 04:00:00,DOT/USDT,15.55600000,15.60800000,15.35500000,15.45600000,443138.95000000,6859588.92483700,12431
1625454000000,2021-07-05 03:00:00,DOT/USDT,15.61500000,15.69200000,15.49500000,15.55600000,331382.39900000,5166727.69085100,8469
1625450400000,2021-07-05 02:00:00,DOT/USDT,15.68000000,15.76200000,15.54200000,15.62000000,521840.25800000,8169311.56819900,11584
1625446800000,2021-07-05 01:00:00,DOT/USDT,15.78900000,15.88300000,15.63800000,15.67900000,493152.35300000,7766052.34530500,11064
1625443200000,2021-07-05 00:00:00,DOT/USDT,15.97400000,15.97500000,15.76100000,15.78600000,526288.92400000,8343631.53343900,12904
1625439600000,2021-07-04 23:00:00,DOT/USDT,16.05200000,16.14200000,15.95200000,15.97500000,426843.56800000,6844475.12136900,11952
