unix,date,symbol,open,high,low,close,Volume SOL,Volume USDT,tradecount
1629882000000,2021-08-25 09:00:00,SOL/USDT,66.62700000,68.75900000,66.50000000,67.81000000,389293.43400000,26317985.05119600,72033
1629878400000,2021-08-25 08:00:00,SOL/USDT,71.14300000,71.24000000,66.03000000,66.62500000,745686.67400000,50953566.44470200,63912
1629874800000,2021-08-25 07:00:00,SOL/USDT,71.93400000,72.19100000,70.96600000,71.14100000,135000.75100000,9657090.33777200,12760
1629871200000,2021-08-25 06:00:00,SOL/USDT,72.38100000,72.83000000,71.79400000,71.96900000,104841.43700000,7567290.74988200,15469
1629867600000,2021-08-25 05:00:00,SOL/USDT,70.90600000,72.40000000,70.86100000,72.40000000,112615.84500000,8083344.76587800,11625
1629864000000,2021-08-25 04:00:00,SOL/USDT,70.65300000,71.49400000,70.51700000,70.93100000,87863.81200000,6235522.45689400,30294
1629860400000,2021-08-25 03:00:00,SOL/USDT,71.82700000,72.38600000,70.62800000,70.66300000,165273.50200000,11850490.50998000,62320
1629856800000,2021-08-25 02:00:00,SOL/USDT,71.23100000,71.98000000,70.91100000,71.82800000,117284.01500000,8383454.32430700,45715
1629853200000,2021-08-25 01:00:00,SOL/USDT,71.38600000,71.38600000,70.20000000,71.22500000,122609.11400000,8685884.49988100,31245
1629849600000,2021-08-25 00:00:00,SOL/USDT,70.51900000,71.75000000,70.32000000,71.38500000,161587.17200000,11483019.20807700,20602
1629846000000,2021-08-24 23:00:00,SOL/USDT,72.24500000,72.63500000,69.62400000,70.52700000,168895.31200000,12008784.68949100,21397
1629842400000,2021-08-24 22:00:00,SOL/USDT,71.38300000,72.31700000,71.16300000,72.25600000,119682.78000000,8599187.27887200,14160
1629838800000,2021-08-24 21:00:00,SOL/USDT,72.44800000,72.73100000,70.62000000,71.38300000,119252.64600000,8550889.63171600,17765
1629835200000,2021-08-24 20:00:00,SOL/USDT,71.60700000,72.58900000,70.84300000,72.44000000,138963.78900000,9982640.46961500,16603
1629831600000,2021-08-24 19:00:00,SOL/USDT,71.53400000,71.97200000,70.14300000,71.67200000,191936.59900000,13640197.56049800,21067
1629828000000,2021-08-24 18:00:00,SOL/USDT,70.83600000,72.09500000,70.44700000,71.50700000,194693.25700000,13878037.76584200,19735
1629824400000,2021-08-24 17:00:00,SOL/USDT,70.76800000,72.10500000,70.47900000,70.78900000,223771.24100000,15991345.19396300,51078
